Abbreviation,Word List
jln,jalan
jaln,jalan
jlan,jalan
jln rya,jalan raya
gdg,gedung
lndmrk,landmark
plz,plaza
dkt,dekat
sblh,sebelah
sbrng,seberang
d,di 
k,ke
dr,dari
mnju,menuju
sktrn ,sekitaran
prg,pergi
sni,sini
stu,situ
sna,sana
mn,mana
dsna,disana
dsni,disini
dstu,disitu
tmpt,tempat
mn,mana
dmn,dimana
psr,pasar
wlyh,wilayah
ngra,negara
plau,pulau
kbptn,kabupaten
jkt,jakarta
jakpus,jakarta pusat
jaksel,jakarta selatan
jakut,jakarta utara
jakbar,jakarta barat
jaktim,jakarta timur
bdg,bandung
bndg,bandung
jogjakarta,yogyakarta
yogjakarta,yogyakarta
yk,yogyakarta
jgj,yogyakarta
jog,yogyakarta
yogya,yogyakarta
jogja,yogyakarta
yogja,yogyakarta
jokja,yogyakarta
jateng,jawa tengah
smg,semarang
jatim,jawa timur
sby,surabaya
mlg,malang
jabar,jawa barat
pwt,purwokerto
pbg,purbalingga
pwj,purworejo
bpn,balikpapan
dps,denpasar
upg,makassar
pdg,padang
plm,palembang
pku,pekanbaru
tangsel,tanggerang selatan
cbdyt,cibaduyut
cgk,cengkareng
tasik,tasikmalaya
